,zipcode,city,state,metro,county,month,avg_house_size_sales,avg_house_size_rental
0,10023,New York,NY,New York,New York,1.0,1841.6065399999998,842.5825095
1,10023,New York,NY,New York,New York,2.0,1841.683036,834.5051672999999
2,10023,New York,NY,New York,New York,3.0,1852.25552,819.3857495
3,10023,New York,NY,New York,New York,4.0,1862.037698,808.6113555
4,10023,New York,NY,New York,New York,5.0,1829.7578989999997,801.3707063999999
5,10023,New York,NY,New York,New York,6.0,1816.036152,817.7832031
6,10023,New York,NY,New York,New York,7.0,1801.109616,824.8121348
7,11375,New York,NY,New York,Queens,1.0,0.0,926.0670617999999
8,11375,New York,NY,New York,Queens,2.0,0.0,935.4006969000001
9,11375,New York,NY,New York,Queens,3.0,0.0,921.9922457999999
10,11375,New York,NY,New York,Queens,4.0,0.0,949.7446951
11,11375,New York,NY,New York,Queens,5.0,0.0,902.4880822999999
12,11375,New York,NY,New York,Queens,6.0,0.0,904.1301457000001
13,11375,New York,NY,New York,Queens,7.0,0.0,915.4525016000001
14,10128,New York,NY,New York,New York,1.0,1601.51258,0.0
15,10128,New York,NY,New York,New York,2.0,1555.882733,0.0
16,10128,New York,NY,New York,New York,3.0,1577.991786,0.0
17,10128,New York,NY,New York,New York,4.0,1636.661671,0.0
18,10128,New York,NY,New York,New York,5.0,1624.716867,0.0
19,10128,New York,NY,New York,New York,6.0,1715.394777,0.0
20,10128,New York,NY,New York,New York,7.0,1682.9951210000002,0.0
21,20002,Washington,DC,Washington,District of Columbia,1.0,1228.595339,1025.88017
22,20002,Washington,DC,Washington,District of Columbia,2.0,1238.227808,1052.340496
23,20002,Washington,DC,Washington,District of Columbia,3.0,1249.964004,1041.301189
24,20002,Washington,DC,Washington,District of Columbia,4.0,1253.160474,1010.643736
25,20002,Washington,DC,Washington,District of Columbia,5.0,1253.573231,1005.8245939999999
26,20002,Washington,DC,Washington,District of Columbia,6.0,1205.440294,1008.253692
27,20002,Washington,DC,Washington,District of Columbia,7.0,1227.711887,993.6559175000001
